Ask|forex|The price available to buy an asset from the quoted market, subject to size and execution conditions.
Bid|forex|The price available to sell an asset into the quoted market, subject to size and execution conditions.
Base currency|forex|The first currency in a pair; EUR is the base in EUR/USD.
Quote currency|forex|The second currency in a pair, used to express the price of one unit of the base currency.
Pip|forex|A conventional price increment, commonly 0.0001 for many FX pairs and 0.01 for many JPY pairs; check the symbol specification.
Point|forex|A platform's quoted increment, which may be smaller than a conventional pip.
Lot|forex|A standardized contract quantity whose size depends on the instrument and broker.
Spread|forex|The difference between an executable bid and ask quote.
Slippage|forex|The difference between an expected execution price and the price actually obtained.
Commission|forex|A transaction charge that may apply on opening, closing or both sides of a trade.
Swap / rollover|forex|A financing adjustment associated with carrying a position across a broker's rollover time.
Margin|forex|Collateral required to support an open position; it is not the same as maximum potential loss.
Leverage|forex|Exposure relative to account equity, which magnifies gains and losses in equity terms.
Equity|forex|Account value including unrealized gains and losses under the platform's accounting rules.
Free margin|forex|Equity remaining after required margin, subject to the broker's calculation rules.
Margin call|forex|A warning or action triggered when account margin conditions fall below defined requirements.
Stop-out|forex|A broker's forced closure of positions under its margin rules.
Market order|forex|An instruction seeking execution at available prices, without guaranteeing the quoted price.
Limit order|forex|An instruction to trade at a specified price or better, with no guarantee of a fill.
Stop order|forex|An order activated when a trigger condition is reached; execution can differ from the trigger price.
Stop-limit order|forex|An order that activates a limit instruction after a trigger, with a risk of remaining unfilled.
Long|forex|A position that generally benefits from a rise in the asset or base currency relative to its quote.
Short|forex|A position that generally benefits from a fall in the asset or base currency relative to its quote.
Liquidity|markets|The ability to execute transactions in size without materially changing available prices.
Volatility|markets|The extent of price variation over a specified interval; it does not specify direction.
Support|markets|An area where buying previously interrupted a decline; future reactions are uncertain.
Resistance|markets|An area where selling previously interrupted a rise; it is not a guaranteed ceiling.
Breakout|markets|A move beyond a defined price boundary under an explicit observation rule.
False breakout|markets|A break followed by a return inside the previous boundary under a specified rule.
Trend|markets|A directional pattern in price over a chosen timeframe.
Range|markets|A period in which price oscillates between approximate boundaries without a sustained trend.
OHLC|markets|Open, high, low and close prices for a defined interval.
Moving average|markets|A rolling average of observations that smooths a series and lags new price changes.
RSI|markets|A momentum indicator based on the balance of recent upward and downward price changes.
MACD|markets|An indicator based on differences between exponential moving averages and a signal average.
ATR|markets|Average true range, a measure of recent range size that incorporates gaps rather than predicting direction.
Pivot point|markets|A reference level computed from prior-period prices under a specified formula.
Fibonacci retracement|markets|Levels drawn at selected fractions of a chosen swing; their usefulness depends on context and testing.
Divergence|markets|A mismatch between extremes in price and an indicator over selected observations.
Correlation|markets|A statistic describing co-movement in an aligned sample; it is not causation or a fixed future relationship.
Drawdown|risk|The decline from a previous equity peak to a later value, often expressed as a percentage of that peak.
Risk-reward ratio|risk|A comparison of planned loss distance with planned gain distance; always state which quantity is first.
R multiple|risk|A trade result divided by its initial planned monetary risk.
Expectancy|risk|The average outcome implied by win probability, average wins, average losses and costs in a sample or model.
Position sizing|risk|Choosing quantity from a risk budget, invalidation distance and contract specification.
Risk of ruin|risk|The chance of reaching a defined unacceptable loss threshold under a specified model and assumptions.
Backtest|risk|A simulation applying stated rules to historical data, subject to biases and execution assumptions.
Forward test|risk|A test using new observations after the rules are defined, often initially on a demo account.
Overfitting|risk|Selecting rules that match noise in the development sample and may fail on unseen data.
